,precision,recall,f1-score,support
생선전,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
소세지볶음,0.6944444444444444,0.8333333333333334,0.7575757575757576,30.0
송편,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
수육,0.5588235294117647,0.6333333333333333,0.59375,30.0
수정과,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
수제비,0.5769230769230769,0.5,0.5357142857142857,30.0
숙주나물,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
순대,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
순두부찌개,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
시금치나물,0.9090909090909091,1.0,0.9523809523809523,30.0
시래기국,0.71875,0.7666666666666667,0.7419354838709677,30.0
식혜,0.8529411764705882,0.9666666666666667,0.90625,30.0
알밥,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
애호박볶음,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
약과,0.7428571428571429,0.8666666666666667,0.8,30.0
약식,0.8571428571428571,0.8,0.8275862068965517,30.0
양념게장,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0
양념치킨,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0
어묵볶음,0.6875,0.7333333333333333,0.7096774193548387,30.0
연근조림,1.0,0.9666666666666667,0.9830508474576272,30.0
열무국수,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
열무김치,0.95,0.6333333333333333,0.76,30.0
오이소박이,0.9090909090909091,1.0,0.9523809523809523,30.0
오징어채볶음,0.3333333333333333,0.26666666666666666,0.2962962962962963,30.0
오징어튀김,0.4594594594594595,0.5666666666666667,0.5074626865671642,30.0
우엉조림,0.9130434782608695,0.7,0.7924528301886793,30.0
유부초밥,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
육개장,0.4827586206896552,0.4666666666666667,0.4745762711864407,30.0
육회,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
잔치국수,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0
잡곡밥,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
잡채,0.8125,0.8666666666666667,0.8387096774193549,30.0
장어구이,0.7619047619047619,0.5333333333333333,0.6274509803921569,30.0
장조림,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
전복죽,0.875,0.9333333333333333,0.9032258064516129,30.0
젓갈,0.5238095238095238,0.7333333333333333,0.6111111111111112,30.0
제육볶음,0.47619047619047616,0.6666666666666666,0.5555555555555556,30.0
조개구이,0.8529411764705882,0.9666666666666667,0.90625,30.0
조기구이,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
족발,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0
주꾸미볶음,0.43902439024390244,0.6,0.5070422535211268,30.0
주먹밥,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
짜장면,0.92,0.7666666666666667,0.8363636363636363,30.0
짬뽕,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
